unique_id,source,source_unique_id,date_reported,record_level,campus_id,campus_name,company_source,company_clean,building_designation,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue,actual_live_date,construction_started,announced,land_acquisition,permitting,cod,facility_status,cancelled,facility_sqft,whitespace_sqft,available_power_kw,substation_count,onsite_substation,power_provider,power_grid,tier_design,type_category,owned_leased,purpose,feed_config,ecosystem_ixps,ecosystem_cloud,ecosystem_children,ecosystem_networkproviders,ecosystem_networkpresence,ecosystem_serviceproviders,additional_references,notes,ingest_date,status_rank_tmp,sample_longitude,sample_latitude
dcm_11757,DataCenterMap,11757,2025-11-11 00:00:00,Campus,meta|south-greeley|meta-cheyenne,Meta Cheyenne,Meta,Meta,,"SECRET, within High Plains Business Park",82007,South Greeley,Cheyenne,Wyoming,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Under Construction,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,2,,
dcm_10009,DataCenterMap,10009,2025-11-11 00:00:00,Campus,meta|clonee|meta-clonee,Meta Clonee,Meta,Meta,,2 Slí na gChairde,,Clonee,Dublin,,,,Ireland,,53.417587,-6.432319,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-6.43231899999995,53.417587000000026
dcm_9989,DataCenterMap,9989,2025-11-11 00:00:00,Campus,meta|huntsville|meta-hunstville,Meta Hunstville,Meta,Meta,,5400 Prosperity Dr NW,35810,Huntsville,Huntsville,Alabama,,,USA,,34.840567,-86.629529,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-86.62952899999999,34.84056700000008
dcm_9990,DataCenterMap,9990,2025-11-11 00:00:00,Campus,meta|mesa|meta-mesa,Meta Mesa,Meta,Meta,,3841 S Ellsworth Rd,85212,Mesa,Phoenix,Arizona,,,USA,,33.343551,-111.63039,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-111.63038999999998,33.34355100000005
dcm_11211,DataCenterMap,11211,2025-11-11 00:00:00,Campus,meta|davenport|meta-davenport,Meta Davenport,Meta,Meta,,Hillandale Rd & Enterprise Way,52806,Davenport,Davenport,Iowa,,,USA,,41.616411,-90.624925,,,,,0.0,,,,,,,,,,,,,,,,,,Planned,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,8,-90.62492499999996,41.61641100000003
dcm_13512,DataCenterMap,13512,2025-11-11 00:00:00,Building,meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Meta,,2050 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.888469,-88.722625,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-88.72262499999994,41.88846900000004
dcm_13513,DataCenterMap,13513,2025-11-11 00:00:00,Building,meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Meta,,2050 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.88846,-88.720994,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-88.72099399999996,41.888460000000066
dcm_13514,DataCenterMap,13514,2025-11-11 00:00:00,Building,meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Meta,,1750 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.890269,-88.727733,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-88.72773299999994,41.890269000000046
dcm_13515,DataCenterMap,13515,2025-11-11 00:00:00,Building,meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Meta,,1750 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.890227,-88.726113,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-88.72611299999994,41.89022700000004
dcm_13516,DataCenterMap,13516,2025-11-11 00:00:00,Building,meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Meta,,1550 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.889098,-88.731606,,,,,0.0,,,,,,,,,,,,,,,,,,Active,0,,,,,,,,,,,,,,,,,,,,,2025-11-14 10:52:43,1,-88.73160599999994,41.88909800000005
