campus_id,campus_name,company_clean,record_level,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue_avg,facility_sqft_sum,whitespace_sqft_sum,building_count,facility_status_agg,cancelled,first_live_date,full_buildout_date,additional_references,notes,ingest_date,sample_longitude,sample_latitude
meta|forest-city|meta-forest-city,Meta Forest City,Meta,Campus,404 Social Circle,28043,Forest City,Charlotte,North Carolina,,,USA,,35.317352,-81.826341,,,,,0.0,,,,,,,,,,,,,,8,Active,0,,,,,2025-11-14 14:16:08,-81.82634099999996,35.31735200000003
meta|forestcity|metaforestcity,Meta Forest City,Meta,Campus,284 Social Circle,28043,Forest City,Charlotte,NORTH CAROLINA,,,United States,,35.3142,-81.8221,0.0,0.0,82.0,82.0,0.0,,,,,,,,,,,,750000.0,,3,Active,0,2012-12-31 00:00:00,,,,2025-11-14 14:16:08,-81.82209999999998,35.31420000000003
meta|fort-worth|meta-fort-worth,Meta Fort Worth,Meta,Campus,4500 Like Way,76177,Fort Worth,Dallas,Texas,,,USA,,32.986146,-97.254508,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-97.25450799999999,32.986146000000076
meta|fortworth|metafortworth,Meta Fort Worth,Meta,Campus,4500 Like Way,76177,Fort Worth,Dallas/Fort Worth,TEXAS,,,United States,,32.9831,-97.2589,0.0,0.0,150.0,150.0,0.0,,,,,,,,,,,,1810000.0,,5,Active,0,2017-12-31 00:00:00,,,,2025-11-14 14:16:08,-97.25889999999998,32.983100000000036
meta|gallatin|meta-gallatin,Meta Gallatin,Meta,Campus,Meta Lp; Building 1,37066,Gallatin,Nashville,Tennessee,,,USA,,36.411848,-86.370104,,,,,0.0,,,,,,,,,,,,,552000.0,14,Active,0,,,,,2025-11-14 14:16:08,-86.37010399999997,36.41184800000008
meta|gallatin|metagallatin,Meta Gallatin,Meta,Campus,1432 Gateway Drive,37066,Gallatin,Nashville,TENNESSEE,,,United States,,36.412159,-86.365219,168.0,76.0,50.0,294.0,244.0,,,,,,,,,,,,2513000.0,,6,Active,0,2022-12-31 00:00:00,,,,2025-11-14 14:16:08,-86.36521899999997,36.41215900000003
meta|graniteville|meta-aiken,Meta Aiken,Meta,Campus,Sage Mill Pkwy; Sage Mill Industrial Park in the Graniteville/Vaucluse area,29829,Graniteville,Aiken,South Carolina,,,USA,,33.6286,-81.837769,,,,,0.0,,,,,,,,,,,,,,2,Unknown,0,,,,,2025-11-14 14:16:08,-81.83776899999998,33.62860000000006
meta|greensburg|metagreensburg,Meta Greensburg,Meta,Campus,N County Road 250 W,47240,Greensburg,Indianapolis,INDIANA,,,United States,,39.37846405,-85.51593253,304.0,0.0,0.0,304.0,304.0,,,,,,,,,,,,1430000.0,,1,Announced,0,,,,,2025-11-14 14:16:08,-85.51593252999999,39.37846405000005
meta|howell|metahowell,Meta Howell,Meta,Campus,Warner Road,48836,Howell,Lansing,MICHIGAN,,,United States,,42.6586947,-84.02180386,456.0,0.0,0.0,456.0,456.0,,,,,,,,,,,,2145000.0,,1,Announced,0,,,,,2025-11-14 14:16:08,-84.02180385999998,42.65869470000007
meta|huntsville|meta-hunstville,Meta Hunstville,Meta,Campus,5400 Prosperity Dr NW,35810,Huntsville,Huntsville,Alabama,,,USA,,34.840567,-86.629529,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-86.62952899999999,34.84056700000008
meta|huntsville|metahuntsville,Meta Huntsville,Meta,Campus,5400 Prosperity Drive,35773,Huntsville,Huntsville,ALABAMA,,,United States,,34.85743153,-86.62173626,0.0,76.0,226.0,302.0,76.0,,,,,,,,,,,,2465000.0,,7,Active,0,2020-12-31 00:00:00,,,,2025-11-14 14:16:08,-86.62173625999998,34.85743153000004
meta|jeffersonville|meta-jeffersonville,Meta Jeffersonville,Meta,Campus,"SECRET, within the River Ridge Commerce Center in Jeffersonville",47130,Jeffersonville,Jeffersonville,Indiana,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,,
meta|jeffersonville|metajeffersonville,Meta Jeffersonville,Meta,Campus,International Drive,47111,Jeffersonville,Louisville,INDIANA,,,United States,,38.37006675,-85.66597839,152.0,152.0,0.0,304.0,304.0,,,,,,,,,,,,1485000.0,,4,Under Construction,0,,,,,2025-11-14 14:16:08,-85.66597838999996,38.370066750000035
meta|kansas-city|meta-kansas-city,Meta Kansas City,Meta,Campus,801 NW 128 St,64165,Kansas City,Kansas City MO,Missouri,,,USA,,39.321994,-94.592441,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-94.59244099999995,39.321994000000075
meta|kansascity|metakansascity,Meta Kansas City,Meta,Campus,NWC Interstate 435 & US Route 169,64165,Kansas City,Kansas City,MISSOURI,,,United States,,39.322637,-94.593251,450.0,0.0,90.0,540.0,450.0,,,,,,,,,,,,6300000.0,,7,Active,0,2023-12-31 00:00:00,,,,2025-11-14 14:16:08,-94.59325099999995,39.32263700000004
meta|kuna|meta-kuna,Meta Kuna,Meta,Campus,"SECRET, within 16 miles from downtown Boise",83634,Kuna,Boise,Idaho,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,,
meta|kuna|metakuna,Meta Kuna,Meta,Campus,Kuna Mora Road,83634,Kuna,Boise,IDAHO,,,United States,,43.46276991,-116.2721434,436.0,152.0,0.0,588.0,588.0,,,,,,,,,,,,5134999.0,,5,Under Construction,0,,,,,2025-11-14 14:16:08,-116.27214339999995,43.46276991000008
meta|lebanon|metalebanon,Meta Lebanon,Meta,Campus,3602 W SR 32,46052,Lebanon,Indianapolis,INDIANA,,,United States,,40.05817848,-86.54317983,988.0,0.0,0.0,988.0,988.0,,,,,,,,,,,,4669837.0,,13,Announced,0,,,,,2025-11-14 14:16:08,-86.54317982999999,40.05817848000004
